City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,Poum,-20.2333,164.0167,77.85,65,63,5.64,NC,2022-04-17 18:17:24
255,Bambanglipuro,-7.95,110.2833,78.03,89,100,4.0,ID,2022-04-17 18:17:24
256,Port Blair,11.6667,92.75,78.84,94,20,2.3,IN,2022-04-17 18:17:24
257,Sorland,67.667,12.6934,42.66,84,100,17.54,NO,2022-04-17 18:17:25
258,Tukrah,32.5341,20.5791,61.14,78,30,5.59,LY,2022-04-17 18:17:25
259,Hofn,64.2539,-15.2082,46.0,84,25,8.72,IS,2022-04-17 18:17:25
260,Arcata,40.8665,-124.0828,55.67,68,0,8.05,US,2022-04-17 18:14:51
261,Dunedin,-45.8742,170.5036,53.8,66,7,5.99,NZ,2022-04-17 18:17:26
262,Chifeng,42.2683,118.9636,45.01,49,59,3.38,CN,2022-04-17 18:17:26
263,Bantry,51.6833,-9.45,51.78,81,21,16.49,IE,2022-04-17 18:17:26
264,Iroquois Falls,48.7669,-80.6831,31.05,67,100,7.31,CA,2022-04-17 18:17:27
265,Lahaina,20.8783,-156.6825,77.0,86,17,12.86,US,2022-04-17 18:17:27
266,Broken Hill,-31.95,141.4333,73.98,30,100,17.05,AU,2022-04-17 18:17:27
267,Horsham,51.064,-0.3272,61.74,45,0,6.91,GB,2022-04-17 18:12:29
268,Ust-Kuyga,70.0167,135.6,-5.55,100,75,2.64,RU,2022-04-17 18:18:28
269,Kandrian,-6.2167,149.55,77.47,88,100,4.9,PG,2022-04-17 18:18:28
270,Kushiro,42.975,144.3747,39.88,88,99,4.38,JP,2022-04-17 18:18:28
271,Preobrazheniye,42.9019,133.9064,40.55,93,95,2.57,RU,2022-04-17 18:18:29
272,Kodinsk,58.6881,99.1844,44.24,92,52,9.84,RU,2022-04-17 18:18:29
273,Beringovskiy,63.05,179.3167,28.85,97,100,14.27,RU,2022-04-17 18:18:30
274,Kavieng,-2.5744,150.7967,82.85,72,61,12.19,PG,2022-04-17 18:15:35
275,Geraldton,-28.7667,114.6,55.81,76,31,9.22,AU,2022-04-17 18:18:30
276,Lompoc,34.6391,-120.4579,66.85,73,100,12.66,US,2022-04-17 18:18:30
277,Sindor,62.8629,51.8905,30.45,92,92,6.93,RU,2022-04-17 18:18:31
278,Kingsport,36.5484,-82.5618,68.36,35,75,3.44,US,2022-04-17 18:15:11
279,Sangar,63.9242,127.4739,21.65,90,100,15.32,RU,2022-04-17 18:18:31
280,Vaitape,-16.5167,-151.75,81.61,69,12,11.83,PF,2022-04-17 18:18:32
281,Ust-Uda,54.1742,103.0304,41.85,86,89,2.82,RU,2022-04-17 18:18:32
282,Puerto Gaitan,4.3133,-72.0816,75.61,83,100,7.61,CO,2022-04-17 18:18:32
283,Vardo,70.3705,31.1107,35.58,93,75,6.91,NO,2022-04-17 18:18:33
284,Hengshui,37.7322,115.7011,53.85,35,99,6.17,CN,2022-04-17 18:18:33
285,San Quintin,30.4833,-115.95,66.07,59,0,16.24,MX,2022-04-17 18:18:33
286,Floro,61.5996,5.0328,55.47,71,75,6.91,NO,2022-04-17 18:18:34
287,Uchaly,54.2996,59.4521,40.98,69,64,4.09,RU,2022-04-17 18:18:34
288,Loralai,30.3705,68.598,75.54,15,70,2.33,PK,2022-04-17 18:18:34
289,Srednekolymsk,67.45,153.6833,1.85,99,99,5.28,RU,2022-04-17 18:18:35
290,Nichinan,31.6,131.3667,57.6,74,49,3.74,JP,2022-04-17 18:18:35
291,Padang,-0.9492,100.3543,78.6,90,97,3.51,ID,2022-04-17 18:16:45
292,Dzerzhinskoye,56.8344,95.2283,51.26,80,98,8.75,RU,2022-04-17 18:18:35
293,Bandarbeyla,9.4942,50.8122,82.42,78,21,8.5,SO,2022-04-17 18:18:36
294,Akdepe,42.0551,59.3788,55.49,50,100,9.33,TM,2022-04-17 18:18:36
